Street,Name,Zip,Category,Lat,Long
373 Ramsell Street,Brooks Park Community Garden,94132,Community Garden,37.7172569,-122.46679
855 Clipper Terrace,Clipper Community Garden,94114,Community Garden,37.7478575,-122.44313
Connecticut Street and 22nd Street,Connecticut Friendship Garden,94107,Community Garden,37.7573775,-122.39745
100 States Street,Corona Heights Community Garden,94114,Community Garden,37.7636023,-122.43769
70 Corwin Street,Corwin Street Community Garden,94114,Community Garden,37.7572642,-122.43905
End of Crags Court,Crags Court Garden,94131,Community Garden,37.7413703,-122.44055
Brewster Street and Costa Street,Dogpatch/Miller Memorial Community Garden,94110,Community Garden,37.7450373,-122.40705
Geneva and Delano Avenues,Geneva Community Garden,94112,Community Garden,37.7204197,-122.44544
Frederick Street and Arguello Boulevard,Golden Gate Park Community Garden,94122,Community Garden,37.7660895,-122.45758
6101 Fulton Street,Golden Gate Park Senior Center Garden,94121,Community Garden,37.7715562,-122.49706
100 Cortland Avenue,Good Prospect Community Garden,94110,Community Garden,37.7399968,-122.42102
Howard Street and Langton Street,Howard & Langton Mini Park Community Garden,94117,Community Garden,37.7773674,-122.40978
3100 17th Street,In Chan Kaajal Community Garden,94103,Community Garden,37.76404,-122.416
17th Street and Arkansas Street,Jackson Playground Garden,94107,Community Garden,37.7638806,-122.40196
45 Hoff Street,Kid Power Park Community Garden,94110,Community Garden,37.7641839,-122.42031
Page and Buchanan,Koshland Park Community Garden,94102,Community Garden,37.7732914,-122.42677
264 Dublin Street,La Grande Community Garden,94112,Community Garden,37.7157575,-122.42816
Sickles and Sears,Lessing & Sears Mini Park,94112,Community Garden,37.7086552,-122.45535
Bay Street and Larkin,Maria Manetti Shrem Community Garden,94109,Community Garden,37.804578,-122.42404
Leleand Avenue and Hahn Street,McLaren Park Community Garden,94134,Community Garden,37.7146503,-122.41562
Greenwich Street and Jones Street,Michaelangelo Community Garden,94133,Community Garden,37.8012367,-122.41698
650 Capitol Avenue,Minnie & Love Ward Rec Center,94112,Community Garden,37.7162809,-122.45753
Bush Street and Mason Street,Nob Hill (Hooker Alley) Community Garden,94108,Community Garden,37.7903977,-122.41051
Noe Street and Beaver Street,Noe & Beaver Mini Park Community Garden,94114,Community Garden,37.764924,-122.43331
700 Ogden Avenue,Ogden Terrace,94110,Community Garden,37.7358165,-122.41208
Page and Laguna Street,Page & Laguna Mini Park,94102,Community Garden,37.7734661,-122.42527
438 Page Street,Page Street Community Garden,94102,Community Garden,37.773623,-122.4281
Page Street and Laguna Street,Page/Laguna Mini Park (Also Known as Rose/Page),94102,Community Garden,37.7734661,-122.42527
500 Felton Street,Palega Community Garden,94134,Community Garden,37.7290933,-122.40971
End of Park Street (Bernal Cut Path),Park Street Garden,94110,Community Garden,37.7365177,-122.42801
Potrero and Cesar Chavez,Potrero Del Sol Community Garden,94110,Community Garden,37.7497578,-122.40523
McKinley Square,Potrero Hill Community Garden,94107,Community Garden,37.7598058,-122.40528
30 Seward Street,Seward Mini Park,94114,Community Garden,37.7575257,-122.44028
86 States Street,States Street Playground,94114,Community Garden,37.763717,-122.43835
23rd Street and Treat Avenue,Treat Commons Community Garden at Parque Ninos Unidos,94110,Community Garden,37.7543948,-122.4135
Folsom Street and Sherman Street,Victoria Manalo Draves Community Garden,94103,Community Garden,37.7770921,-122.40607
159 Teddy Avenue,Visitacion Valley Greenway Community Garden,94134,Community Garden,37.7770921,-122.40607
South of 7th Avenue and Lawton Street,White Crane Springs Community Garden,94122,Community Garden,37.7576397,-122.46334
90 Rutledge Street,Wolfe Lane Community Garden,94110,Community Garden,37.7452494,-122.4066
730 Polk Street,Open Hand,94109,Volunteer Organizations,37.7837644,-122.4211621
330 Ellis St,Glide,94102,Volunteer Organizations,37.7852299,-122.4136527
1375 Fairfax Ave,Meals on Wheels,94124,Volunteer Organizations,37.7393969,-122.38432
2579 Washington St,Food Runners,94115,Volunteer Organizations,37.7913061,-122.43559
164 6th St,CityTeam,94103,Volunteer Organizations,37.7915111,-122.56692
"One Ferry Building #50,",CUESA,94111,Volunteer Organizations,37.7949891,-122.39545
"150 Golden Gate Ave,",St Anthony’s Foundation,94012,Volunteer Organizations,37.7821233,-122.41319
2111 Jennings St.,Mother Brown’s Dining Room,94102,Volunteer Organizations,37.7821233,-122.41319
140 Turk St,San Francisco City Impact Rescue Mission,94102,Volunteer Organizations,37.7832669,-122.41153
330 Ellis St,GLIDE,94102,Volunteer Organizations,37.7852058,-122.4114
50 United Nations Plaza,Curry Without Worry,94102,Volunteer Organizations,37.7798254,-122.41499
"4889, 1504 Bryant St #100",HandsOn,94103,Volunteer Organizations,37.7679001,-122.4109
"827 Joost Ave, San Francisco",Free the Need,94127,Volunteer Organizations,37.7322113,-122.45412
"1175 Howard St, San Francisco",St. Vincent de Paul Society,94103,Volunteer Organizations,37.7766109,-122.4107
"3130 24th St San Francisco, CA 94110",Community Fridge,94110,Volunteer Organizations,37.752659,-122.4169895
"701 Alabama Street, San Francisco",Mission Foods,94110,Volunteer Organizations,37.7601382,-122.4136864
